id_programa,nombre_programa,nivel_academico,nombre_facultad,modalidad,jornada
6594,MANEJO DE HERRAMIENTAS MICROSOFT OFFICE 2016: EXCEL,CURSO ESPECIAL,CENTRO INDUSTRIAL Y DE AVIACION,VIRTUAL,COMPLETA
6595,INMERSION AL SOFTWARE CONTABLE Y ADMINISTRATIVO TNS,CURSO ESPECIAL,CENTRO DE FORMACION PARA EL DESARROLLO RURAL Y MINERO,PRESENCIAL,COMPLETA
6596,MANTENIMIENTO Y REPARACION DE EDIFICACIONES.,TECNICO,CENTRO INTERNACIONAL DE PRODUCCION LIMPIA - LOPE,PRESENCIAL,COMPLETA
6597,ENGLISH DOES WORK - LEVEL 4,CURSO ESPECIAL,CENTRO DE GESTION Y DESARROLLO AGROINDUSTRIAL DE ARAUCA,VIRTUAL,COMPLETA
6598,INSTALACION Y MANTENIMIENTO DE REDES INTERNAS DE TELECOMUNICACIONES,TECNICO,CENTRO NACIONAL COLOMBO ALEMAN,PRESENCIAL,COMPLETA
6599,HABITOS SALUDABLES A PARTIR DE LA ALIMENTACION Y LA ACTIVIDAD FISICA.,CURSO ESPECIAL,CENTRO ATENCION SECTOR AGROPECUARIO,VIRTUAL,COMPLETA
6600,ANALITICA DE DATOS PARA PROCESOS LOGISTICOS,CURSO ESPECIAL,CENTRO DE COMERCIO,VIRTUAL,COMPLETA
6601,BLOCKCHAIN EN CRIPTOMONEDAS.,CURSO ESPECIAL,CENTRO AGROPECUARIO LA GRANJA,VIRTUAL,COMPLETA
6602,DESARROLLO MULTIMEDIA Y WEB,TECNOLOGO,CENTRO NACIONAL COLOMBO ALEMAN,VIRTUAL,COMPLETA
6603,MOTORISTA COSTANERO.,CURSO ESPECIAL,CENTRO DE FORMACION TURISTICA GENTE DE MAR Y DE SERVICIOS,PRESENCIAL,COMPLETA
6604,FUNDAMENTOS DE ELECTRICIDAD,CURSO ESPECIAL,"CENTRO INTERNACIONAL NAUTICO, FLUVIAL Y PORTUARIO",PRESENCIAL,COMPLETA
6605,SERVICIOS Y OPERACIONES MICROFINANCIERAS,TECNICO,CENTRO DE SERVICIOS EMPRESARIALES Y TURISTICOS,PRESENCIAL,COMPLETA
