id_estudiante,tipo_iden_est,edad,grupo_edad,genero,estrato,estrato_num,grupo_estrato,origen_geografico,departamento,lugar_expedicion
168,C.C.,27,26-30,M,2,2.0,BAJO,CHIQUINQUIRÁ,CHIQUINQUIRÁ,CHIQUINQUIRÁ
169,C.C.,25,21-25,M,2,2.0,BAJO,VILLA DE LEYVA,VILLA,VILLA DE LEIVA
170,C.C.,23,21-25,F,2,2.0,BAJO,SOGAMOSO,SOGAMOSO,DUITAMA
171,C.C.,27,26-30,M,1,1.0,BAJO,UBATE,UBATE,SIMIJACA
172,C.C.,24,21-25,M,1,1.0,BAJO,CHIQUINQUIRÁ,CHIQUINQUIRÁ,SAN PABLO DE BORBUR
173,C.C.,25,21-25,M,1,1.0,BAJO,CHIQUINQUIRÁ,CHIQUINQUIRÁ,ZIPAQUIRÁ
174,C.C.,23,21-25,M,2,2.0,BAJO,BOGOTA D.E,BOGOTA,SOGAMOSO
175,T.I.,21,21-25,M,2,2.0,BAJO,TUNJA,TUNJA,TUNJA
176,C.C.,22,21-25,M,2,2.0,BAJO,SAMACÁ,SAMACÁ,SAMACÁ
177,T.I.,20,16-20,M,3,3.0,MEDIO,TUNJA,TUNJA,DOSQUEBRADAS
178,C.C.,21,21-25,F,1,1.0,BAJO,BOGOTA D.E,BOGOTA,VILLANUEVA
179,T.I.,20,16-20,F,1,1.0,BAJO,SAN JOSÉ DEL GUAVIARE,SAN,VILLAVICENCIO
180,T.I.,22,21-25,F,2,2.0,BAJO,VILLA DE LEYVA,VILLA,GACHANTIVÁ
181,C.C.,23,21-25,M,3,3.0,MEDIO,TUNJA,TUNJA,TUNJA
182,C.C.,22,21-25,M,3,3.0,MEDIO,TUNJA,TUNJA,TUNJA
183,C.C.,21,21-25,M,3,3.0,MEDIO,TUNJA,TUNJA,TUNJA
184,C.C.,21,21-25,M,2,2.0,BAJO,PAZ DE RÍO,PAZ,DUITAMA
185,C.C.,22,21-25,M,2,2.0,BAJO,DUITAMA,DUITAMA,DUITAMA
