periodo,nombre_facultad,nombre_programa,nivel_académico,jornada,modalidad,no_estudiantes,periodo_año,periodo_semestre,institucion,tipo_desercion
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,ESPECIALIZACION EN GERENCIA DE EMPRESAS DE SALUD,POSGRADO,DIURNA - NOCTURNA,PRESENCIAL,1,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,ESTUDIOS A DISTANCIA,MAESTRIA EN DIDACTICA DE LA MATEMATICA,POSGRADO,DIURNA - NOCTURNA,PRESENCIAL,7,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,INGENIERIA,DOCTORADO EN INGENIERIA Y CIENCIA DE LOS MATERIALES,POSGRADO,DIURNA - NOCTURNA,PRESENCIAL,2,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,INGENIERIA,ESPECIALIZACION EN TRANSITO Y TRANSPORTE,POSGRADO,DIURNA - NOCTURNA,PRESENCIAL,1,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,INGENIERIA,MAESTRIA EN GEOTECNIA,POSGRADO,DIURNA - NOCTURNA,PRESENCIAL,1,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,INGENIERIA,MAESTRIA EN GESTION DE INTEGRIDAD Y CORROSION,POSGRADO,DIURNA - NOCTURNA,PRESENCIAL,1,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,INGENIERIA,"MAESTRIA EN INGENIERIA CON ENFASIS EN TRANSPORTE, EN TRANSITO Y EN INFRAESTRUCTURA VIAL",POSGRADO,DIURNA - NOCTURNA,PRESENCIAL,2,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,INGENIERIA,MAESTRIA EN METALURGIA Y CIENCIAS DE LOS MATERIALES,POSGRADO,DIURNA - NOCTURNA,PRESENCIAL,4,2020.0,1,UPTC,NO_ACADEMICA
PRIMER SEMESTRE 2020,SECCIONAL DUITAMA,ESPECIALIZACION EN ESTADISTICA,POSGRADO,DIURNA - NOCTURNA,PRESENCIAL,1,2020.0,1,UPTC,NO_ACADEMICA
SEGUNDO SEMESTRE 2020,CIENCIAS DE LA EDUCACION,ESPECIALIZACION EN GERENCIA EDUCACIONAL,POSGRADO,DIURNA - NOCTURNA,PRESENCIAL,14,2020.0,2,UPTC,NO_ACADEMICA
SEGUNDO SEMESTRE 2023,CIENCIAS,QUIMICA,PREGRADO,DIURNA,PRESENCIAL,27,2023.0,2,UPTC,NO_ACADEMICA
SEGUNDO SEMESTRE 2020,CIENCIAS DE LA EDUCACION,"ESPECIALIZACION EN NECESIDADES  DE APRENDIZAJE EN LECTURA, ESCRITURA Y MATEMATICAS",POSGRADO,DIURNA - NOCTURNA,PRESENCIAL,11,2020.0,2,UPTC,NO_ACADEMICA
SEGUNDO SEMESTRE 2020,CIENCIAS DE LA EDUCACION,MAESTRIA  EN GEOGRAFIA,POSGRADO,DIURNA - NOCTURNA,PRESENCIAL,1,2020.0,2,UPTC,NO_ACADEMICA
SEGUNDO SEMESTRE 2020,CIENCIAS DE LA EDUCACION,MAESTRIA EN EDUCACION MATEMATICA,POSGRADO,DIURNA - NOCTURNA,PRESENCIAL,4,2020.0,2,UPTC,NO_ACADEMICA
SEGUNDO SEMESTRE 2020,CIENCIAS DE LA EDUCACION,MAESTRIA EN LINGUISTICA,POSGRADO,DIURNA - NOCTURNA,PRESENCIAL,2,2020.0,2,UPTC,NO_ACADEMICA
SEGUNDO SEMESTRE 2020,CIENCIAS DE LA EDUCACION,MAESTRIA EN LITERATURA,POSGRADO,DIURNA - NOCTURNA,PRESENCIAL,1,2020.0,2,UPTC,NO_ACADEMICA
SEGUNDO SEMESTRE 2020,CIENCIAS DE LA EDUCACION,MAESTRIA EN PATRIMONIO CULTURAL,POSGRADO,DIURNA - NOCTURNA,PRESENCIAL,2,2020.0,2,UPTC,NO_ACADEMICA
SEGUNDO SEMESTRE 2020,CIENCIAS DE LA EDUCACION,MAESTRÍA EN PEDAGOGÍA DE LA CULTURA FÍSICA,POSGRADO,DIURNA - NOCTURNA,PRESENCIAL,5,2020.0,2,UPTC,NO_ACADEMICA
SEGUNDO SEMESTRE 2020,CIENCIAS DE LA EDUCACION,ARTES PLÁSTICAS Y VISUALES,PREGRADO,EXTENDIDA,PRESENCIAL,2,2020.0,2,UPTC,NO_ACADEMICA
SEGUNDO SEMESTRE 2020,CIENCIAS DE LA EDUCACION,LIC. EN PSICOPEDAGOGIA ENFASIS ASESORIA EDUCATIVA,PREGRADO,DIURNA,PRESENCIAL,4,2020.0,2,UPTC,NO_ACADEMICA
SEGUNDO SEMESTRE 2020,CIENCIAS DE LA EDUCACION,LICENCIATURA  EN CIENCIAS NATURALES Y EDUCACION AMBIENTAL,PREGRADO,DIURNA,PRESENCIAL,13,2020.0,2,UPTC,NO_ACADEMICA
SEGUNDO SEMESTRE 2020,CIENCIAS DE LA EDUCACION,LICENCIATURA EN ARTES PLASTICAS,PREGRADO,DIURNA,PRESENCIAL,3,2020.0,2,UPTC,NO_ACADEMICA
SEGUNDO SEMESTRE 2020,CIENCIAS DE LA EDUCACION,LICENCIATURA EN CIENCIAS SOCIALES,PREGRADO,DIURNA,PRESENCIAL,7,2020.0,2,UPTC,NO_ACADEMICA
SEGUNDO SEMESTRE 2020,CIENCIAS DE LA EDUCACION,"LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS, HUMANIDADES Y LENGUA CASTELLANA",PREGRADO,OTRA,DISTANCIA,2,2020.0,2,UPTC,NO_ACADEMICA
SEGUNDO SEMESTRE 2020,CIENCIAS DE LA EDUCACION,LICENCIATURA EN EDUCACION BASICA PRIMARIA,PREGRADO,EXTENDIDA,DISTANCIA,22,2020.0,2,UPTC,NO_ACADEMICA
SEGUNDO SEMESTRE 2020,CIENCIAS DE LA EDUCACION,LICENCIATURA EN EDUCACION FISICA RECREACION Y DEPORTES,PREGRADO,DIURNA,PRESENCIAL,36,2020.0,2,UPTC,NO_ACADEMICA
SEGUNDO SEMESTRE 2020,CIENCIAS DE LA EDUCACION,LICENCIATURA EN EDUCACIÓN INFANTIL,PREGRADO,EXTENDIDA,PRESENCIAL,6,2020.0,2,UPTC,NO_ACADEMICA
SEGUNDO SEMESTRE 2020,CIENCIAS DE LA EDUCACION,LICENCIATURA EN EDUCACION PREESCOLAR,PREGRADO,DIURNA,PRESENCIAL,3,2020.0,2,UPTC,NO_ACADEMICA
SEGUNDO SEMESTRE 2020,CIENCIAS DE LA EDUCACION,LICENCIATURA EN FILOSOFIA,PREGRADO,EXTENDIDA,PRESENCIAL,5,2020.0,2,UPTC,NO_ACADEMICA
SEGUNDO SEMESTRE 2020,CIENCIAS DE LA EDUCACION,LICENCIATURA EN IDIOMAS MODERNOS ESPAÑOL-INGLÉS,PREGRADO,DIURNA,PRESENCIAL,7,2020.0,2,UPTC,NO_ACADEMICA
SEGUNDO SEMESTRE 2020,CIENCIAS DE LA EDUCACION,LICENCIATURA EN INFORMÁTICA,PREGRADO,DIURNA,PRESENCIAL,3,2020.0,2,UPTC,NO_ACADEMICA
SEGUNDO SEMESTRE 2020,CIENCIAS DE LA EDUCACION,LICENCIATURA EN INFORMATICA Y TECNOLOGIA,PREGRADO,NOCTURNA,PRESENCIAL,5,2020.0,2,UPTC,NO_ACADEMICA
SEGUNDO SEMESTRE 2020,CIENCIAS DE LA EDUCACION,LICENCIATURA EN LENGUAS EXTRANJERAS,PREGRADO,DIURNA,PRESENCIAL,6,2020.0,2,UPTC,NO_ACADEMICA
SEGUNDO SEMESTRE 2020,CIENCIAS DE LA EDUCACION,LICENCIATURA EN LENGUAS EXTRANJERAS CON ENFASIS EN INGLES Y EN FRANCES,PREGRADO,EXTENDIDA,PRESENCIAL,10,2020.0,2,UPTC,NO_ACADEMICA
SEGUNDO SEMESTRE 2020,CIENCIAS DE LA EDUCACION,"LICENCIATURA EN LENGUAS MODERNAS, CON ENFASIS EN INGLES",PREGRADO,EXTENDIDA,PRESENCIAL,3,2020.0,2,UPTC,NO_ACADEMICA
SEGUNDO SEMESTRE 2020,CIENCIAS DE LA EDUCACION,LICENCIATURA EN MATEMATICAS,PREGRADO,DIURNA,PRESENCIAL,27,2020.0,2,UPTC,NO_ACADEMICA
SEGUNDO SEMESTRE 2020,CIENCIAS DE LA EDUCACION,LICENCIATURA EN MUSICA,PREGRADO,DIURNA,PRESENCIAL,8,2020.0,2,UPTC,NO_ACADEMICA
SEGUNDO SEMESTRE 2020,CIENCIAS DE LA SALUD,ESPECIALIZACION EN SEGURIDAD Y SALUD EN EL TRABAJO,POSGRADO,DIURNA - NOCTURNA,PRESENCIAL,2,2020.0,2,UPTC,NO_ACADEMICA
SEGUNDO SEMESTRE 2020,CIENCIAS DE LA SALUD,ENFERMERIA,PREGRADO,DIURNA,PRESENCIAL,3,2020.0,2,UPTC,NO_ACADEMICA
SEGUNDO SEMESTRE 2020,CIENCIAS DE LA SALUD,MEDICINA,PREGRADO,DIURNA,PRESENCIAL,7,2020.0,2,UPTC,NO_ACADEMICA
SEGUNDO SEMESTRE 2020,CIENCIAS DE LA SALUD,PSICOLOGIA,PREGRADO,DIURNA,PRESENCIAL,6,2020.0,2,UPTC,NO_ACADEMICA
SEGUNDO SEMESTRE 2020,CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,MAESTRIA EN ADMINISTRACION  DE ORGANIZACIONES,POSGRADO,DIURNA - NOCTURNA,PRESENCIAL,2,2020.0,2,UPTC,NO_ACADEMICA
SEGUNDO SEMESTRE 2020,CIENCIAS ECONOMICAS Y ADMINISTRATIVAS,ADMINISTRACION DE EMPRESAS,PREGRADO,NOCTURNA,PRESENCIAL,7,2020.0,2,UPTC,NO_ACADEMICA
