periodo,nombre_facultad,nombre_programa,jornada,modalidad,nombre_sede,tipo_iden_est,fecha_nacimiento,genero,estrato,nombre_estado,origen_geografico,lugar_expedicion,edad,grupo_edad,periodo_año,periodo_semestre,estrato_num,grupo_estrato,institucion,tipo_desercion,es_desertor
SEGUNDO SEMESTRE DE 2020,ESTUDIOS A DISTANCIA,MAESTRIA EN DIDACTICA DE LA MATEMATICA,DIURNA - NOCTURA,VIRTUAL,TUNJA,C.C.,1991-10-11,F,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,SAN ANDRÉS,SAN ANDRÉS,32,31+,2020.0,2,,,UPTC,ACADEMICA,1
SEGUNDO SEMESTRE DE 2020,ESTUDIOS A DISTANCIA,MAESTRIA EN DIDACTICA DE LA MATEMATICA,DIURNA - NOCTURA,VIRTUAL,TUNJA,C.C.,1985-11-14,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,QUIBDÓ,QUIBDÓ,38,31+,2020.0,2,,,UPTC,ACADEMICA,1
SEGUNDO SEMESTRE DE 2020,ESTUDIOS A DISTANCIA,MAESTRIA EN DIDACTICA DE LA MATEMATICA,DIURNA - NOCTURA,VIRTUAL,TUNJA,C.C.,1971-09-21,F,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.C.,MONTERREY,MONTERREY,52,31+,2020.0,2,,,UPTC,ACADEMICA,1
SEGUNDO SEMESTRE DE 2020,INGENIERIA,ESPECIALIZACION EN GESTION DE INTEGRIDAD Y CORROSIÓN,DIURNA - NOCTURA,VIRTUAL,TUNJA,C.C.,1992-08-26,F,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,AGUAZUL,AGUAZUL,31,31+,2020.0,2,,,UPTC,ACADEMICA,1
SEGUNDO SEMESTRE DE 2020,INGENIERIA,MAESTRIA EN GEOTECNIA,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1991-04-16,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,VALLEDUPAR,VALLEDUPAR,32,31+,2020.0,2,,,UPTC,ACADEMICA,1
SEGUNDO SEMESTRE DE 2020,INGENIERIA,MAESTRIA EN INGENIERIA AMBIENTAL,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1976-06-18,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.B.,TUNJA,TUNJA,47,31+,2020.0,2,,,UPTC,ACADEMICA,1
SEGUNDO SEMESTRE DE 2020,INGENIERIA,MAESTRIA EN INGENIERIA AMBIENTAL,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1990-03-30,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,ARAUCA,YOPAL,33,31+,2020.0,2,,,UPTC,ACADEMICA,1
SEGUNDO SEMESTRE DE 2020,INGENIERIA,MAESTRIA EN INGENIERIA AMBIENTAL,DIURNA - NOCTURA,PRESENCIAL,TUNJA,C.C.,1984-04-06,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.B.,TUNJA,TUNJA,39,31+,2020.0,2,,,UPTC,ACADEMICA,1
SEGUNDO SEMESTRE DE 2020,SECCIONAL DUITAMA,ESPECIALIZACIÓN EN INFORMÁTICA PARA LA DOCENCIA,DIURNA - NOCTURA,PRESENCIAL,DUITAMA,C.C.,1982-07-09,M,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.A.,DUITAMA,DUITAMA,41,31+,2020.0,2,,,UPTC,ACADEMICA,1
SEGUNDO SEMESTRE DE 2020,SECCIONAL SOGAMOSO,"MAESTRIA EN SEGURIDAD Y SALUD EN EL TRABAJO, ENFASIS EN HIGIENE Y SEGURIDAD INDUSTRIAL",DIURNA - NOCTURA,PRESENCIAL,SOGAMOSO,C.C.,1977-03-04,F,SIN INFORMACIÓN,PERDIO CUPO A 052/2012  ART 15 LIT.B.,TUNJA,TUNJA,46,31+,2020.0,2,,,UPTC,ACADEMICA,1
